gene,bulk,image+ST
C3,0.0,0.049349
Isyna1,0.002052,0.025789
Angpt2,0.0,0.022209
Ccl8,0.0,0.021535
Clgn,0.0,0.014445
CELF1,0.0,0.011269
Apoc1,0.0,0.011256
Ahcyl2,0.0,0.00975
Cdh26,0.0,0.008668
CXCR4,0.0,0.008575
Adgrg6,0.0,0.00715
Ciita,0.0,0.006935
Ccnb1ip1,0.0,0.00677
Col16a1,0.0,0.006233
B430306N03Rik,0.0,0.006121
Adam5,0.0,0.005826
Cd209f,0.0,0.005667
Caln1,0.0,0.005356
Arhgef10,0.0,0.005353
COL1A2,0.0,0.005309
C1QC,0.0,0.005272
Brinp3,0.0,0.005181
C1qa,0.0,0.00485
CCDC66,0.0,0.004821
Lyz2,0.0,0.004755
CLASP2,0.0,0.004622
Ccdc24,0.0,0.004418
Anpep,0.0,0.004406
CNBP,0.0,0.004381
Cdca3,0.0,0.00432
